symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251121P00058000,12.2,12.2,12.2,1.0,12.2,2025-11-04T05:00:00Z,4.0,12.2,19.2,56,A,16.99,48,S,A,2025-11-19T18:00:27.134949572Z,f,12.2,4.0,2025-11-04T15:37:29.616536999Z,I,12.2,12.2,12.2,1.0,12.2,2025-11-04T15:37:00Z,4.0,12.2,7.3,7.3,7.3,1.0,7.3,2025-10-10T04:00:00Z,1.0,7.3,2025-11-21,58000,,,,,,
BTC251121P00048000,7.2,7.2,7.2,1.0,7.2,2025-11-19T05:00:00Z,2.0,7.2,8.68,59,A,7.06,53,B,A,2025-11-19T18:00:32.708558182Z,I,7.2,2.0,2025-11-19T15:10:04.447119726Z,I,7.2,7.2,7.2,1.0,7.2,2025-11-19T15:10:00Z,2.0,7.2,7.14,7.14,7.14,2.0,7.14,2025-11-18T05:00:00Z,3.0,7.14,2025-11-21,48000,,,,,,
BTC251219C00063000,1.39,1.39,1.39,1.0,1.39,2025-10-10T04:00:00Z,1.0,1.39,0.73,319,A,0.07,1,U,A,2025-11-19T17:41:47.664246575Z,a,1.39,1.0,2025-10-10T18:52:05.546368928Z,X,1.39,1.39,1.39,1.0,1.39,2025-10-10T18:52:00Z,1.0,1.39,2.17,2.17,2.17,1.0,2.17,2025-10-08T04:00:00Z,1.0,2.17,2025-12-19,63000,,,,,,
BTC270115C00074000,3.01,3.01,3.01,1.0,3.01,2025-11-17T05:00:00Z,2.0,3.01,4.43,14,E,1.42,15,A,A,2025-11-19T18:00:36.834416334Z,a,3.01,2.0,2025-11-17T15:18:18.723356109Z,X,3.01,3.01,3.01,1.0,3.01,2025-11-17T15:18:00Z,2.0,3.01,5.2,5.25,5.2,2.0,5.25,2025-09-23T04:00:00Z,3.0,5.216667,2027-01-15,74000,0.5746,0.2615,0.0133,0.0858,-0.0101,0.1385
BTC260116C00062000,1.26,1.26,1.26,1.0,1.26,2025-10-20T04:00:00Z,1.0,1.26,0.73,516,A,0.0,0,?,A,2025-11-19T18:00:30.534157184Z,g,1.26,1.0,2025-10-20T18:48:42.523441326Z,C,1.26,1.26,1.26,1.0,1.26,2025-10-20T18:48:00Z,1.0,1.26,1.5,1.5,1.5,1.0,1.5,2025-10-16T04:00:00Z,1.0,1.5,2026-01-16,62000,,,,,,
BTC251219C00067000,,,,,,,,,0.73,288,A,0.0,0,?,A,2025-11-19T17:50:46.311711864Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,67000,,,,,,
BTC251121C00043000,0.07,0.07,0.07,2.0,0.07,2025-11-19T05:00:00Z,9.0,0.07,0.13,55,C,0.0,0,?, ,2025-11-19T18:00:34.540589558Z,g,0.07,1.0,2025-11-19T17:32:55.00669187Z,C,0.07,0.07,0.07,1.0,0.07,2025-11-19T17:32:00Z,1.0,0.07,0.27,0.44,0.18,12.0,0.18,2025-11-18T05:00:00Z,48.0,0.255208,2025-11-21,43000,,,,,,
BTC251219P00066000,,,,,,,,,27.35,23,Z,25.15,20,E,A,2025-11-19T17:59:44.096320485Z,,,,,,,,,,,,,,,,,,,,,,2025-12-19,66000,0.7835,-0.9842,0.0045,-0.0536,0.0012,0.0045
BTC270115P00039000,6.13,6.13,5.5,2.0,5.5,2025-11-04T05:00:00Z,2.0,5.815,8.72,27,A,5.92,32,A, ,2025-11-19T18:00:30.060027416Z,a,6.13,1.0,2025-11-04T17:13:44.553372565Z,X,6.13,6.13,6.13,1.0,6.13,2025-11-04T17:13:00Z,1.0,6.13,6.9,6.9,6.9,1.0,6.9,2025-10-17T04:00:00Z,1.0,6.9,2027-01-15,39000,0.5109,-0.354,0.0171,-0.2466,-0.0076,0.1583
BTC280121C00057000,,,,,,,,,11.57,17,X,6.72,12,E, ,2025-11-19T18:00:30.065078066Z,,,,,,,,,,,,,,,,,,,,,,2028-01-21,57000,0.5682,0.5273,0.012,0.2548,-0.0094,0.2322
BTC270115C00067000,,,,,,,,,5.03,13,E,2.32,15,A,A,2025-11-19T18:00:32.849153286Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,67000,0.5709,0.3138,0.0146,0.1011,-0.011,0.151
BTC280121C00075000,6.64,6.64,6.64,1.0,6.64,2025-11-17T05:00:00Z,1.0,6.64,8.25,36,A,3.56,17,A,A,2025-11-19T18:00:31.435133245Z,a,6.64,1.0,2025-11-17T15:19:02.728366159Z,X,6.64,6.64,6.64,1.0,6.64,2025-11-17T15:19:00Z,1.0,6.64,8.45,8.45,8.45,1.0,8.45,2025-11-12T05:00:00Z,3.0,8.45,2028-01-21,75000,0.5542,0.3872,0.0118,0.2047,-0.0087,0.2234
BTC270115C00040000,9.87,9.87,8.3,4.0,8.3,2025-11-19T05:00:00Z,100.0,9.6659,10.03,19,M,8.96,25,B,A,2025-11-19T18:00:34.388652473Z,a,9.87,87.0,2025-11-19T14:42:00.698356801Z,X,9.87,9.87,8.3,4.0,8.3,2025-11-19T14:42:00Z,100.0,9.6659,10.6,10.6,10.6,2.0,10.6,2025-11-18T05:00:00Z,2.0,10.6,2027-01-15,40000,0.5398,0.6335,0.0164,0.1802,-0.0117,0.1602
BTC251219P00038000,1.52,1.52,1.24,3.0,1.24,2025-11-19T05:00:00Z,12.0,1.396667,1.83,36,B,1.42,44,E,A,2025-11-19T18:00:30.193661323Z,a,1.52,1.0,2025-11-19T16:01:28.211408655Z,I,1.52,1.52,1.52,1.0,1.52,2025-11-19T16:01:00Z,1.0,1.52,1.49,1.49,1.49,1.0,1.49,2025-11-17T05:00:00Z,1.0,1.49,2025-12-19,38000,0.5382,-0.3584,0.0612,-0.013,-0.0363,0.0424
BTC260116P00072000,,,,,,,,,33.12,17,Z,31.18,20,Z,A,2025-11-19T17:42:35.963369284Z,,,,,,,,,,,,,,,,,,,,,,2026-01-16,72000,0.7788,-0.9601,0.007,-0.1115,-0.0016,0.0136
BTC251121P00056000,6.1,6.16,6.0,5.0,6.0,2025-09-19T04:00:00Z,15.0,6.110667,16.62,58,B,14.56,52,B,A,2025-11-19T17:55:39.444526195Z,S,6.17,5.0,2025-09-19T19:53:18.196455054Z,M,6.1,6.1,6.1,1.0,6.1,2025-09-19T19:53:00Z,5.0,6.1,,,,,,,,,2025-11-21,56000,,,,,,
BTC260116P00025000,0.05,0.05,0.05,1.0,0.05,2025-11-19T05:00:00Z,1.0,0.05,0.68,340,A,0.03,40,B,A,2025-11-19T18:00:30.549654104Z,I,0.05,1.0,2025-11-19T16:12:50.448840043Z,D,0.05,0.05,0.05,1.0,0.05,2025-11-19T16:12:00Z,1.0,0.05,0.2,0.2,0.2,1.0,0.2,2025-11-18T05:00:00Z,1.0,0.2,2026-01-16,25000,0.8214,-0.0564,0.0088,-0.0041,-0.0124,0.0179
BTC270115C00041000,9.77,9.77,9.77,1.0,9.77,2025-11-18T05:00:00Z,1.0,9.77,10.14,25,B,8.47,27,B, ,2025-11-19T17:57:31.643121034Z,a,9.77,1.0,2025-11-18T14:58:44.522367684Z,X,9.77,9.77,9.77,1.0,9.77,2025-11-18T14:58:00Z,1.0,9.77,15.55,15.55,15.55,1.0,15.55,2025-10-17T04:00:00Z,2.0,15.55,2027-01-15,41000,0.5516,0.6198,0.0162,0.176,-0.012,0.1621
