symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC251219P00063000,24.59,16,Z,22.05,20,Z, ,2025-11-19T18:41:24.479879078Z,2025-12-19,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116P00061000,22.97,16,Z,19.86,20,B, ,2025-11-19T19:00:05.195797141Z,2026-01-16,61000,0.6382,-0.9409,0.0117,-0.093,-0.0039,0.0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121C00054000,0.63,367,X,0.0,0,?, ,2025-11-19T19:01:42.771895661Z,2025-11-21,54000,,,,,,,0.29,0.29,0.29,1.0,0.29,2025-11-17T05:00:00Z,1.0,0.29,g,0.29,1.0,2025-11-17T17:04:25.017712101Z,M,0.29,0.29,0.29,1.0,0.29,2025-11-17T17:04:00Z,1.0,0.29,0.05,0.05,0.05,1.0,0.05,2025-11-13T05:00:00Z,1.0,0.05
BTC280121C00042000,15.59,7,S,11.14,11,E,A,2025-11-19T19:02:39.521115588Z,2028-01-21,42000,0.5895,0.6716,0.0105,0.2851,-0.009,0.2101,13.8,13.8,13.8,1.0,13.8,2025-11-17T05:00:00Z,10.0,13.8,I,13.8,10.0,2025-11-17T19:05:15.099270625Z,I,13.8,13.8,13.8,1.0,13.8,2025-11-17T19:05:00Z,10.0,13.8,15.2,15.6,15.2,31.0,15.58,2025-11-14T05:00:00Z,324.0,15.412901
BTC251219P00045000,6.38,23,U,5.66,253,A,A,2025-11-19T19:03:11.870112837Z,2025-12-19,45000,0.4995,-0.7958,0.0502,-0.0307,-0.0226,0.0321,5.8,5.9,5.8,7.0,5.9,2025-11-19T05:00:00Z,28.0,5.871429,I,5.8,1.0,2025-11-19T16:42:35.688919312Z,U,5.8,5.8,5.8,6.0,5.8,2025-11-19T16:42:00Z,8.0,5.8,4.41,5.1,4.41,4.0,5.1,2025-11-18T05:00:00Z,4.0,4.755
BTC251219P00044000,5.55,24,U,4.03,65,E,A,2025-11-19T19:02:52.800233523Z,2025-12-19,44000,0.372,-0.8269,0.0609,-0.0307,-0.0139,0.0289,4.81,4.81,4.62,3.0,4.62,2025-11-19T05:00:00Z,3.0,4.693333,g,4.81,1.0,2025-11-19T17:42:17.233303393Z,C,4.81,4.81,4.81,1.0,4.81,2025-11-19T17:42:00Z,1.0,4.81,3.9,4.45,3.9,2.0,4.45,2025-11-18T05:00:00Z,2.0,4.175
BTC251121P00040000,1.22,28,C,0.83,23,C,A,2025-11-19T19:03:15.93101121Z,2025-11-21,40000,0.6105,-0.612,0.215,-0.0014,-0.1679,0.0112,1.25,1.25,0.53,18.0,0.55,2025-11-19T05:00:00Z,126.0,1.103175,I,1.23,3.0,2025-11-19T18:30:03.819974351Z,B,1.25,1.25,1.25,1.0,1.25,2025-11-19T18:30:00Z,3.0,1.25,0.44,0.8,0.35,10.0,0.61,2025-11-18T05:00:00Z,34.0,0.450588
BTC260320C00055000,1.62,237,A,0.88,23,U,A,2025-11-19T19:02:10.357988273Z,2026-03-20,55000,0.5597,0.2029,0.0222,0.0224,-0.0155,0.0641,1.3,1.65,1.3,9.0,1.65,2025-11-19T05:00:00Z,100.0,1.5065,a,1.3,41.0,2025-11-19T14:37:44.725358948Z,X,1.3,1.65,1.3,9.0,1.65,2025-11-19T14:37:00Z,100.0,1.5065,2.0,2.2,2.0,4.0,2.2,2025-11-13T05:00:00Z,4.0,2.1375
BTC280121C00057000,11.52,15,B,6.7,12,E,A,2025-11-19T19:03:05.440128225Z,2028-01-21,57000,0.5699,0.5265,0.012,0.2532,-0.0094,0.2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260320C00068000,0.78,141,B,0.07,14,E,A,2025-11-19T19:02:38.551009672Z,2026-03-20,68000,0.587,0.08,0.0112,0.009,-0.0085,0.0338,2.0,2.0,2.0,1.0,2.0,2025-10-16T04:00:00Z,1.0,2.0,I,2.0,1.0,2025-10-16T15:43:42.665324873Z,I,2.0,2.0,2.0,1.0,2.0,2025-10-16T15:43:00Z,1.0,2.0,3.1,3.1,3.1,1.0,3.1,2025-10-10T04:00:00Z,1.0,3.1
