symbol,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC260116P00059000,20.27,6,U,17.9,27,Z, ,2025-11-19T19:00:27.013881175Z,2026-01-16,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC251121C00046000,0.77,575,A,0.0,0,?,A,2025-11-19T19:01:45.105276266Z,2025-11-21,46000,0.13,0.13,0.13,1.0,0.13,2025-11-18T05:00:00Z,1.0,0.13,g,0.13,1.0,2025-11-18T19:32:33.538457673Z,C,0.13,0.13,0.13,1.0,0.13,2025-11-18T19:32:00Z,1.0,0.13,0.03,0.1,0.03,29.0,0.08,2025-11-17T05:00:00Z,128.0,0.051641,,,,,,
BTC260320C00057000,1.42,141,B,0.48,133,A, ,2025-11-19T19:02:05.739331885Z,2026-03-20,57000,2.6,2.6,2.6,1.0,2.6,2025-11-05T05:00:00Z,2.0,2.6,f,2.6,2.0,2025-11-05T16:00:11.00441389Z,J,2.6,2.6,2.6,1.0,2.6,2025-11-05T16:00:00Z,2.0,2.6,5.18,5.18,5.18,1.0,5.18,2025-10-13T04:00:00Z,3.0,5.18,0.5464,0.1653,0.02,0.0185,-0.0133,0.0564
BTC251219C00031000,10.22,384,A,8.25,35,B,A,2025-11-19T19:03:51.272706112Z,2025-12-19,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8463,0.8702,0.0221,0.0206,-0.0364,0.0239
BTC280121P00025000,6.52,6,P,1.82,23,E,A,2025-11-19T19:03:36.405959038Z,2028-01-21,25000,4.0,4.0,3.62,2.0,3.62,2025-11-19T05:00:00Z,2.0,3.81,I,4.0,1.0,2025-11-19T17:37:58.158734966Z,P,4.0,4.0,4.0,1.0,4.0,2025-11-19T17:37:00Z,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2025-09-23T04:00:00Z,1.0,2.0,0.5891,-0.1489,0.0068,-0.2181,-0.0041,0.1349
BTC270115P00057000,21.93,12,E,17.77,12,S,A,2025-11-19T19:03:50.525640387Z,2027-01-15,57000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529,-0.615,0.017,-0.51,-0.006,0.1621
BTC260116P00045000,7.13,26,U,5.93,527,A,A,2025-11-19T19:03:41.57414542Z,2026-01-16,45000,6.57,6.57,6.0,2.0,6.0,2025-11-19T05:00:00Z,7.0,6.407143,f,6.57,5.0,2025-11-19T17:52:10.601141895Z,M,6.57,6.57,6.57,1.0,6.57,2025-11-19T17:52:00Z,5.0,6.57,5.33,5.33,4.99,3.0,5.0,2025-11-17T05:00:00Z,16.0,5.0175,0.4831,-0.711,0.045,-0.0549,-0.0187,0.0537
BTC270115P00059000,23.88,12,E,19.15,12,E,A,2025-11-19T19:03:50.023744217Z,2027-01-15,59000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5354,-0.6339,0.0166,-0.5378,-0.0057,0.1596
BTC280121P00053000,21.58,1,P,17.51,12,E,A,2025-11-19T19:03:14.393627148Z,2028-01-21,53000,14.0,14.0,14.0,1.0,14.0,2025-10-10T04:00:00Z,5.0,14.0,g,14.0,5.0,2025-10-10T19:50:02.579381288Z,C,14.0,14.0,14.0,1.0,14.0,2025-10-10T19:50:00Z,5.0,14.0,13.68,13.68,13.68,1.0,13.68,2025-09-19T04:00:00Z,1.0,13.68,0.555,-0.4463,0.0123,-0.807,-0.0047,0.2298
BTC280121C00025000,23.48,8,C,19.72,18,E,A,2025-11-19T19:03:43.058378706Z,2028-01-21,25000,21.57,21.7,21.57,3.0,21.7,2025-11-19T05:00:00Z,8.0,21.6675,a,21.57,2.0,2025-11-19T15:12:18.19135428Z,X,21.57,21.57,21.57,1.0,21.57,2025-11-19T15:12:00Z,2.0,21.57,22.0,22.6,22.0,2.0,22.6,2025-11-17T05:00:00Z,4.0,22.3,0.6823,0.8478,0.0059,0.2572,-0.007,0.1369
