symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC260320C00073000,1.26,1.26,1.26,1.0,1.26,2025-10-30T04:00:00Z,1.0,1.26,0.73,131,B,0.0,0,?, ,2025-11-19T19:00:27.013049474Z,I,1.26,1.0,2025-10-30T13:41:32.433245351Z,Z,1.26,1.26,1.26,1.0,1.26,2025-10-30T13:41:00Z,1.0,1.26,2026-03-20,73000,,,,,,,,,,,,,,
BTC270115P00042000,7.2,7.25,7.18,6.0,7.25,2025-10-21T04:00:00Z,76.0,7.191711,10.55,12,E,6.87,15,S,A,2025-11-19T19:04:11.365883912Z,f,7.2,5.0,2025-10-21T17:18:17.629279339Z,I,7.2,7.2,7.18,4.0,7.2,2025-10-21T17:18:00Z,40.0,7.183,2027-01-15,42000,0.488,-0.413,0.0188,-0.2891,-0.0072,0.1652,8.23,8.23,8.23,1.0,8.23,2025-10-17T04:00:00Z,5.0,8.23
BTC270115P00044000,6.4,6.4,6.4,1.0,6.4,2025-09-30T04:00:00Z,2.0,6.4,11.64,25,M,7.98,24,A,A,2025-11-19T19:04:27.006319703Z,I,6.57,2.0,2025-09-30T17:40:27.219148544Z,I,6.4,6.4,6.4,1.0,6.4,2025-09-30T17:40:00Z,2.0,6.4,2027-01-15,44000,0.4806,-0.4502,0.0194,-0.3188,-0.0069,0.1679,,,,,,,,
BTC251121P00038000,0.55,1.0,0.55,2.0,1.0,2025-11-19T05:00:00Z,2.0,0.775,0.48,25,A,0.32,23,U,A,2025-11-19T19:04:45.35191767Z,g,0.52,1.0,2025-11-19T17:40:33.225130132Z,C,0.55,0.55,0.55,1.0,0.55,2025-11-19T17:40:00Z,1.0,0.55,2025-11-21,38000,0.8405,-0.2609,0.1323,-0.0006,-0.1983,0.0095,,,,,,,,
BTC251219P00034000,0.48,0.48,0.48,1.0,0.48,2025-11-19T05:00:00Z,1.0,0.48,0.78,20,A,0.42,23,U,A,2025-11-19T19:04:22.672736639Z,I,0.48,1.0,2025-11-19T14:36:55.11564247Z,Z,0.48,0.48,0.48,1.0,0.48,2025-11-19T14:36:00Z,1.0,0.48,2025-12-19,34000,0.5827,-0.16,0.0369,-0.0057,-0.026,0.0275,0.37,0.37,0.37,1.0,0.37,2025-11-17T05:00:00Z,2.0,0.37
BTC270115C00070000,3.05,3.34,3.05,3.0,3.34,2025-11-19T05:00:00Z,6.0,3.291667,4.88,41,A,2.029,21,E,A,2025-11-19T19:04:59.047227515Z,I,3.05,1.0,2025-11-19T17:31:23.296629147Z,Z,3.05,3.05,3.05,1.0,3.05,2025-11-19T17:31:00Z,1.0,3.05,2027-01-15,70000,0.5836,0.2961,0.014,0.0951,-0.0109,0.1466,3.24,3.24,2.89,3.0,2.89,2025-11-17T05:00:00Z,6.0,3.161667
BTC251219P00071000,,,,,,,,,31.65,18,Z,29.66,20,B, ,2025-11-19T19:00:05.195792414Z,,,,,,,,,,,,,,2025-12-19,71000,,,,,,,,,,,,,,
BTC251121C00070000,0.05,0.05,0.05,1.0,0.05,2025-11-10T05:00:00Z,1.0,0.05,0.03,5,U,0.0,0,?,A,2025-11-19T15:18:07.443095912Z,I,0.05,1.0,2025-11-10T14:47:26.974129121Z,U,0.05,0.05,0.05,1.0,0.05,2025-11-10T14:47:00Z,1.0,0.05,2025-11-21,70000,,,,,,,0.06,0.06,0.06,1.0,0.06,2025-11-06T05:00:00Z,1.0,0.06
BTC260320P00069000,,,,,,,,,31.31,19,Z,28.05,21,E, ,2025-11-19T19:02:05.740886084Z,,,,,,,,,,,,,,2026-03-20,69000,0.7363,-0.8591,0.0134,-0.2108,-0.0088,0.0508,,,,,,,,
BTC270115C00029000,,,,,,,,,18.23,25,A,13.91,22,E,A,2025-11-19T19:04:58.620530579Z,,,,,,,,,,,,,,2027-01-15,29000,0.6511,0.8016,0.0101,0.1799,-0.0106,0.1182,,,,,,,,
BTC270115P00038000,7.17,7.17,7.17,1.0,7.17,2025-11-19T05:00:00Z,1.0,7.17,8.94,27,A,6.45,16,U,A,2025-11-19T19:04:58.535282406Z,f,7.17,1.0,2025-11-19T16:46:12.497450274Z,I,7.17,7.17,7.17,1.0,7.17,2025-11-19T16:46:00Z,1.0,7.17,2027-01-15,38000,0.5672,-0.3327,0.0151,-0.2407,-0.0084,0.1542,,,,,,,,
BTC280121P00062000,,,,,,,,,28.46,11,E,24.19,10,B,A,2025-11-19T19:04:59.679349113Z,,,,,,,,,,,,,,2028-01-21,62000,0.5651,-0.5161,0.0121,-1.0144,-0.0041,0.2318,,,,,,,,
BTC270115P00048000,,,,,,,,,14.23,13,E,11.16,15,U,A,2025-11-19T19:04:12.831206281Z,,,,,,,,,,,,,,2027-01-15,48000,0.496,-0.5102,0.0189,-0.3795,-0.0068,0.1692,,,,,,,,
BTC260618P00059000,,,,,,,,,21.11,66,X,18.56,48,E,A,2025-11-19T19:03:33.6056907Z,,,,,,,,,,,,,,2026-06-18,59000,0.5069,-0.7868,0.0191,-0.2941,-0.0053,0.0872,,,,,,,,
BTC260320C00080000,0.45,0.45,0.45,1.0,0.45,2025-11-12T05:00:00Z,1.0,0.45,0.77,275,A,0.0,0,?,A,2025-11-19T19:00:53.024935584Z,I,0.45,1.0,2025-11-12T19:33:01.304964037Z,I,0.45,0.45,0.45,1.0,0.45,2025-11-12T19:33:00Z,1.0,0.45,2026-03-20,80000,,,,,,,0.6,0.6,0.6,1.0,0.6,2025-11-05T05:00:00Z,30.0,0.6
BTC251219P00073000,,,,,,,,,33.92,13,Z,32.03,20,B, ,2025-11-19T19:00:05.195792414Z,,,,,,,,,,,,,,2025-12-19,73000,,,,,,,,,,,,,,
BTC251121P00065000,,,,,,,,,26.27,55,A,23.65,40,X, ,2025-11-19T19:00:27.017319528Z,,,,,,,,,,,,,,2025-11-21,65000,,,,,,,,,,,,,,
BTC260320P00054000,6.45,6.45,6.45,1.0,6.45,2025-10-07T04:00:00Z,1.0,6.45,15.56,23,U,13.28,55,C,A,2025-11-19T19:04:18.051299708Z,g,6.45,1.0,2025-10-07T15:03:54.627876335Z,C,6.45,6.45,6.45,1.0,6.45,2025-10-07T15:03:00Z,1.0,6.45,2026-03-20,54000,0.4193,-0.87,0.0222,-0.1616,-0.0032,0.0481,,,,,,,,
BTC270115C00028000,,,,,,,,,18.26,14,M,14.45,15,E,A,2025-11-19T19:04:24.960338866Z,,,,,,,,,,,,,,2027-01-15,28000,0.6279,0.8173,0.0099,0.1838,-0.0099,0.1124,,,,,,,,
BTC260320P00060000,12.6,12.6,12.6,1.0,12.6,2025-09-25T04:00:00Z,1.0,12.6,21.2,11,U,19.4,29,E, ,2025-11-19T19:00:27.013855742Z,I,12.64,1.0,2025-09-25T13:30:00.72274144Z,X,12.6,12.6,12.6,1.0,12.6,2025-09-25T13:30:00Z,1.0,12.6,2026-03-20,60000,0.5056,-0.8944,0.0159,-0.1843,-0.0028,0.0415,12.23,12.23,12.23,2.0,12.23,2025-09-22T04:00:00Z,34.0,12.23
BTC260116P00060000,11.5,11.5,11.5,1.0,11.5,2025-08-20T04:00:00Z,3.0,11.5,21.04,12,E,18.95,28,Z, ,2025-11-19T19:00:27.013009923Z,I,11.5,3.0,2025-08-20T15:46:10.342113625Z,I,11.5,11.5,11.5,1.0,11.5,2025-08-20T15:46:00Z,3.0,11.5,2026-01-16,60000,,,,,,,11.72,11.72,11.72,1.0,11.72,2025-08-19T04:00:00Z,3.0,11.72
BTC251121C00043000,0.07,0.07,0.07,2.0,0.07,2025-11-19T05:00:00Z,9.0,0.07,0.17,24,U,0.0,0,?, ,2025-11-19T19:04:55.578605785Z,g,0.07,1.0,2025-11-19T17:32:55.00669187Z,C,0.07,0.07,0.07,1.0,0.07,2025-11-19T17:32:00Z,1.0,0.07,2025-11-21,43000,,,,,,,0.27,0.44,0.18,12.0,0.18,2025-11-18T05:00:00Z,48.0,0.255208
BTC260320C00045000,3.0,3.0,3.0,1.0,3.0,2025-11-19T05:00:00Z,1.0,3.0,3.46,187,X,2.81,12,E,A,2025-11-19T19:03:50.236461192Z,I,3.0,1.0,2025-11-19T17:36:08.960513908Z,U,3.0,3.0,3.0,1.0,3.0,2025-11-19T17:36:00Z,1.0,3.0,2026-03-20,45000,0.5479,0.4135,0.0313,0.0437,-0.0214,0.0885,3.8,3.9,3.5,6.0,3.5,2025-11-18T05:00:00Z,21.0,3.691429
BTC260320P00074000,,,,,,,,,35.25,16,Z,32.84,14,Z,A,2025-11-19T18:59:14.543817934Z,,,,,,,,,,,,,,2026-03-20,74000,0.6579,-0.9246,0.0095,-0.2338,-0.0014,0.0323,,,,,,,,
BTC260116P00055000,9.55,9.55,9.55,1.0,9.55,2025-11-11T05:00:00Z,1.0,9.55,15.95,15,E,14.21,35,B,A,2025-11-19T19:04:51.811089521Z,g,9.55,1.0,2025-11-11T15:15:08.542991866Z,C,9.55,9.55,9.55,1.0,9.55,2025-11-11T15:15:00Z,1.0,9.55,2026-01-16,55000,,,,,,,7.8,8.0,7.8,3.0,8.0,2025-10-31T04:00:00Z,12.0,7.833333
BTC260116C00050000,0.68,0.75,0.6,8.0,0.75,2025-11-19T05:00:00Z,146.0,0.726096,0.88,21,S,0.67,35,I, ,2025-11-19T19:04:37.602002784Z,a,0.68,6.0,2025-11-19T18:17:45.733345676Z,B,0.68,0.7,0.68,4.0,0.7,2025-11-19T18:17:00Z,15.0,0.684,2026-01-16,50000,0.5611,0.1791,0.0296,0.01,-0.0206,0.0411,0.87,0.95,0.6,12.0,0.85,2025-11-18T05:00:00Z,31.0,0.864839
