symbol,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega
BTC251219C00020000,28.0,28.0,28.0,1.0,28.0,2025-10-22T04:00:00Z,1.0,28.0,21.67,248,X,18.64,20,B, ,2025-11-19T19:11:13.707971053Z,I,28.0,1.0,2025-10-22T14:49:04.497323929Z,H,28.0,28.0,28.0,1.0,28.0,2025-10-22T14:49:00Z,1.0,28.0,2025-12-19,20000,,,,,,,,,,,,,,
BTC251121C00052000,0.05,0.05,0.02,2.0,0.02,2025-11-18T05:00:00Z,3.0,0.04,0.07,8,U,0.0,0,?,A,2025-11-19T17:38:02.5298678Z,I,0.03,2.0,2025-11-18T17:27:16.241750322Z,A,0.05,0.05,0.05,1.0,0.05,2025-11-18T17:27:00Z,2.0,0.05,2025-11-21,52000,0.02,0.05,0.02,2.0,0.05,2025-11-17T05:00:00Z,2.0,0.035,,,,,,
BTC260116C00050000,0.68,0.75,0.6,8.0,0.75,2025-11-19T05:00:00Z,146.0,0.726096,0.92,11,E,0.63,35,I, ,2025-11-19T19:11:12.02903613Z,a,0.68,6.0,2025-11-19T18:17:45.733345676Z,B,0.68,0.7,0.68,4.0,0.7,2025-11-19T18:17:00Z,15.0,0.684,2026-01-16,50000,0.87,0.95,0.6,12.0,0.85,2025-11-18T05:00:00Z,31.0,0.864839,0.562,0.179,0.0296,0.01,-0.0206,0.0411
BTC270115C00059000,,,,,,,,,6.37,13,E,2.52,19,A,A,2025-11-19T19:11:13.707434755Z,,,,,,,,,,,,,,2027-01-15,59000,,,,,,,,,0.5461,0.373,0.0163,0.1187,-0.0114,0.1605
BTC251219P00048000,4.4,4.4,4.4,1.0,4.4,2025-11-05T05:00:00Z,1.0,4.4,9.14,24,U,7.18,47,C,A,2025-11-19T19:10:26.114120834Z,g,4.4,1.0,2025-11-05T17:00:36.894509636Z,A,4.4,4.4,4.4,1.0,4.4,2025-11-05T17:00:00Z,1.0,4.4,2025-12-19,48000,4.67,4.67,4.2,2.0,4.2,2025-11-04T05:00:00Z,2.0,4.435,,,,,,
BTC270115C00067000,,,,,,,,,6.02,29,A,1.22,11,E,A,2025-11-19T19:11:14.211555882Z,,,,,,,,,,,,,,2027-01-15,67000,,,,,,,,,0.5703,0.3113,0.0146,0.1001,-0.0109,0.1499
BTC260320C00047000,2.45,2.45,2.45,1.0,2.45,2025-11-19T05:00:00Z,2.0,2.45,2.83,64,A,2.17,16,E,A,2025-11-19T19:11:13.707435958Z,a,2.45,2.0,2025-11-19T17:29:38.073696064Z,E,2.45,2.45,2.45,1.0,2.45,2025-11-19T17:29:00Z,2.0,2.45,2026-03-20,47000,2.6,3.8,2.6,11.0,3.8,2025-11-17T05:00:00Z,28.0,3.2,0.5375,0.3553,0.0305,0.0382,-0.02,0.0846
BTC260116P00066000,,,,,,,,,27.51,20,B,24.51,20,B, ,2025-11-19T19:01:56.185885644Z,,,,,,,,,,,,,,2026-01-16,66000,,,,,,,,,,,,,,
BTC251219P00050000,8.84,8.85,8.45,6.0,8.45,2025-11-17T05:00:00Z,22.0,8.629091,10.87,16,E,9.05,35,B,A,2025-11-19T19:10:55.101606397Z,a,8.84,6.0,2025-11-17T17:36:37.357357336Z,X,8.84,8.85,8.84,3.0,8.85,2025-11-17T17:36:00Z,10.0,8.844,2025-12-19,50000,4.5,4.67,4.5,4.0,4.67,2025-11-10T05:00:00Z,12.0,4.648333,,,,,,
BTC260320P00074000,,,,,,,,,35.25,16,Z,32.84,14,Z,A,2025-11-19T18:59:14.543817934Z,,,,,,,,,,,,,,2026-03-20,74000,,,,,,,,,0.6521,-0.9271,0.0094,-0.2341,-0.0011,0.0315
