symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw,expires,price
BTC270115C00020000,0.7621,0.8945,0.0058,0.1479,-0.008,0.075,22.0,22.1,21.9,58.0,22.0,2025-11-19T05:00:00Z,296.0,22.028615,22.41,77,A,20.4,16,S,A,2025-11-20T19:52:52.17464377Z,I,22.0,1.0,2025-11-19T20:48:54.525873678Z,N,22.0,22.1,22.0,2.0,22.1,2025-11-19T20:48:00Z,2.0,22.05,27.0,27.0,27.0,1.0,27.0,2025-11-06T05:00:00Z,1.0,27.0,2027-01-15,20000
BTC270115C00026000,0.6568,0.8308,0.0093,0.1727,-0.0095,0.1037,17.5,17.5,17.5,2.0,17.5,2025-11-19T05:00:00Z,24.0,17.5,18.81,75,A,14.82,35,A,A,2025-11-20T19:52:59.249806377Z,I,17.5,12.0,2025-11-19T20:20:52.085173645Z,N,17.5,17.5,17.5,2.0,17.5,2025-11-19T20:20:00Z,24.0,17.5,24.66,24.66,24.66,1.0,24.66,2025-10-30T04:00:00Z,5.0,24.66,2027-01-15,26000
BTC270115P00056000,0.5217,-0.6285,0.0176,-0.5043,-0.0054,0.1553,19.7,19.7,19.3,2.0,19.3,2025-11-19T05:00:00Z,2.0,19.5,21.11,24,P,18.24,16,U, ,2025-11-20T19:45:29.754593781Z,I,19.37,1.0,2025-11-19T20:16:02.16161956Z,N,19.7,19.7,19.7,1.0,19.7,2025-11-19T20:16:00Z,1.0,19.7,,,,,,,,,2027-01-15,56000
BTC260320P00073000,0.6532,-0.9337,0.009,-0.2298,-0.0003,0.0283,,,,,,,,,35.02,20,E,33.35,20,E,A,2025-11-20T19:50:39.804838936Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,73000
BTC260320P00069000,0.5723,-0.9446,0.0089,-0.2179,0.0011,0.0245,,,,,,,,,31.04,31,X,29.23,20,B,A,2025-11-20T19:49:35.993217662Z,,,,,,,,,,,,,,,,,,,,,,2026-03-20,69000
BTC280121C00052000,0.5805,0.5606,0.0121,0.2533,-0.0092,0.2222,16.1,18.2,15.9,6.0,18.2,2025-09-19T04:00:00Z,7.0,16.357143,11.98,37,A,7.57,6,B,A,2025-11-20T19:52:37.25851305Z,I,16.1,2.0,2025-09-19T15:03:50.612103074Z,I,16.1,18.2,15.9,6.0,18.2,2025-09-19T15:03:00Z,7.0,16.357143,,,,,,,,,2028-01-21,52000
BTC270115C00073000,0.6223,0.2836,0.0132,0.0868,-0.011,0.1392,,,,,,,,,5.06,51,A,1.58,13,E,A,2025-11-20T19:53:01.584110224Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,73000
BTC260618P00035000,0.4682,-0.3124,0.0261,-0.0881,-0.0099,0.1027,3.6,3.6,3.5,3.0,3.5,2025-11-19T05:00:00Z,5.0,3.54,4.22,65,N,2.48,681,X,A,2025-11-20T19:52:44.098501328Z,I,3.6,2.0,2025-11-19T15:53:39.995725026Z,I,3.6,3.6,3.5,2.0,3.5,2025-11-19T15:53:00Z,3.0,3.566667,3.3,3.3,3.26,4.0,3.26,2025-11-18T05:00:00Z,6.0,3.28,2026-06-18,35000
BTC270115C00032000,0.5652,0.7467,0.0138,0.1853,-0.0104,0.1315,,,,,,,,,14.36,13,E,10.64,16,A,A,2025-11-20T19:53:02.73148463Z,,,,,,,,,,,,,,,,,,,,,,2027-01-15,32000
BTC260618P00030000,0.5435,-0.1982,0.0176,-0.056,-0.0095,0.0808,1.7,1.7,1.7,1.0,1.7,2025-11-10T05:00:00Z,1.0,1.7,2.62,13,M,1.68,315,A,A,2025-11-20T19:52:49.302935386Z,I,1.67,1.0,2025-11-10T19:41:01.556538611Z,E,1.7,1.7,1.7,1.0,1.7,2025-11-10T19:41:00Z,1.0,1.7,,,,,,,,,2026-06-18,30000
