symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,expires,price,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC280121C00062000,0.5712,0.4758,0.0123,0.2298,-0.0092,0.2262,8.0,8.0,8.0,1.0,8.0,2025-11-25T05:00:00Z,10.0,8.0,9.38,114,A,6.12,83,A,A,2025-11-26T14:47:51.251991045Z,I,8.0,10.0,2025-11-25T14:35:18.669762407Z,T,8.0,8.0,8.0,1.0,8.0,2025-11-25T14:35:00Z,10.0,8.0,2028-01-21,62000,,,,,,,,
BTC280121P00054000,0.5601,-0.4642,0.0125,-0.8338,-0.0047,0.2257,16.5,16.6,15.9,6.0,15.9,2025-10-31T04:00:00Z,6.0,16.15,22.38,12,E,19.11,12,E,A,2025-11-26T14:47:55.290231276Z,I,16.5,1.0,2025-10-31T14:46:58.343014302Z,I,16.5,16.6,15.9,6.0,15.9,2025-10-31T14:46:00Z,6.0,16.15,2028-01-21,54000,14.55,14.55,14.55,1.0,14.55,2025-10-10T04:00:00Z,5.0,14.55
BTC260618C00048000,0.5261,0.3829,0.0251,0.0643,-0.0154,0.1105,5.19,5.19,5.19,1.0,5.19,2025-11-14T05:00:00Z,1.0,5.19,3.88,153,A,2.75,358,A,A,2025-11-26T14:47:14.448227615Z,g,5.19,1.0,2025-11-14T18:44:13.208029792Z,E,5.19,5.19,5.19,1.0,5.19,2025-11-14T18:44:00Z,1.0,5.19,2026-06-18,48000,6.4,6.4,6.4,1.0,6.4,2025-11-06T05:00:00Z,40.0,6.4
BTC260116P00033000,,,,,,,1.17,1.17,1.17,1.0,1.17,2025-11-20T05:00:00Z,1.0,1.17,1.48,300,N,0.0,0,?,A,2025-11-26T14:47:37.433136022Z,a,1.17,1.0,2025-11-20T17:18:30.219856734Z,J,1.17,1.17,1.17,1.0,1.17,2025-11-20T17:18:00Z,1.0,1.17,2026-01-16,33000,,,,,,,,
BTC260116P00058000,0.8245,-0.8729,0.0175,-0.0747,-0.0187,0.0301,9.72,9.72,9.72,2.0,9.72,2025-09-08T04:00:00Z,3.0,9.72,21.0,35,B,18.28,35,B, ,2025-11-26T14:46:27.695143414Z,g,9.72,2.0,2025-09-08T15:06:24.005804194Z,C,9.72,9.72,9.72,2.0,9.72,2025-09-08T15:06:00Z,3.0,9.72,2026-01-16,58000,10.68,10.68,10.68,1.0,10.68,2025-09-04T04:00:00Z,3.0,10.68
BTC270115P00058000,0.5637,-0.6209,0.0164,-0.5192,-0.0064,0.1571,,,,,,,,,23.34,12,E,19.91,12,E,A,2025-11-26T14:46:31.256614529Z,,,,,,,,,,,,,,2027-01-15,58000,,,,,,,,
BTC260320P00072000,0.7682,-0.8855,0.0116,-0.2108,-0.0071,0.0419,,,,,,,,,34.82,23,Z,31.63,23,Z, ,2025-11-26T14:36:56.246402931Z,,,,,,,,,,,,,,2026-03-20,72000,,,,,,,,
BTC270115C00057000,0.556,0.3856,0.0167,0.1175,-0.0115,0.1579,7.4,7.4,7.4,1.0,7.4,2025-11-07T05:00:00Z,28.0,7.4,5.97,58,A,3.22,37,A,A,2025-11-26T14:47:42.178046658Z,I,7.4,28.0,2025-11-07T15:53:02.955632036Z,U,7.4,7.4,7.4,1.0,7.4,2025-11-07T15:53:00Z,28.0,7.4,2027-01-15,57000,,,,,,,,
BTC251219P00032000,,,,,,,0.15,0.15,0.15,1.0,0.15,2025-11-25T05:00:00Z,1.0,0.15,0.73,253,X,0.0,0,?, ,2025-11-26T14:46:27.695207225Z,I,0.22,1.0,2025-11-25T16:28:59.840439899Z,I,0.15,0.15,0.15,1.0,0.15,2025-11-25T16:28:00Z,1.0,0.15,2025-12-19,32000,0.46,0.46,0.46,1.0,0.46,2025-11-24T05:00:00Z,1.0,0.46
BTC260618C00049000,0.5277,0.3638,0.0246,0.0614,-0.0152,0.1087,2.8,2.8,2.8,1.0,2.8,2025-11-21T05:00:00Z,3.0,2.8,3.68,146,A,2.52,149,A,A,2025-11-26T14:47:38.077943142Z,I,2.8,3.0,2025-11-21T16:49:24.934282445Z,A,2.8,2.8,2.8,1.0,2.8,2025-11-21T16:49:00Z,3.0,2.8,2026-06-18,49000,7.5,7.5,7.5,1.0,7.5,2025-10-30T04:00:00Z,5.0,7.5
BTC270115P00052000,0.5465,-0.5591,0.0175,-0.4367,-0.0072,0.1629,12.6,12.65,12.58,6.0,12.65,2025-10-21T04:00:00Z,76.0,12.591711,18.11,14,E,15.42,15,E, ,2025-11-26T14:47:46.008035264Z,f,12.6,5.0,2025-10-21T17:18:17.629284228Z,I,12.6,12.6,12.58,4.0,12.6,2025-10-21T17:18:00Z,40.0,12.583,2027-01-15,52000,13.73,13.73,13.73,1.0,13.73,2025-10-17T04:00:00Z,5.0,13.73
BTC270115P00064000,0.5715,-0.6761,0.0152,-0.5999,-0.0053,0.1484,,,,,,,,,28.26,12,E,24.91,12,E,A,2025-11-26T14:47:06.610693692Z,,,,,,,,,,,,,,2027-01-15,64000,,,,,,,,
BTC270115P00068000,0.6562,-0.6554,0.0136,-0.6429,-0.0068,0.152,,,,,,,,,33.03,12,E,29.31,12,E,A,2025-11-26T14:47:28.324069025Z,,,,,,,,,,,,,,2027-01-15,68000,,,,,,,,
BTC280121C00030000,0.5968,0.7903,0.0085,0.2852,-0.0074,0.1636,17.0,17.0,17.0,1.0,17.0,2025-11-25T05:00:00Z,1.0,17.0,19.03,34,A,15.68,58,A,A,2025-11-26T14:47:47.405938838Z,I,17.0,1.0,2025-11-25T15:08:41.006222796Z,U,17.0,17.0,17.0,1.0,17.0,2025-11-25T15:08:00Z,1.0,17.0,2028-01-21,30000,16.9,16.9,15.7,3.0,15.7,2025-11-21T05:00:00Z,3.0,16.466667
BTC270115P00063000,0.5964,-0.6506,0.015,-0.5836,-0.0062,0.1528,,,,,,,,,27.52,13,E,24.76,12,E,A,2025-11-26T14:47:31.919819134Z,,,,,,,,,,,,,,2027-01-15,63000,,,,,,,,
BTC260320P00030000,0.5547,-0.1549,0.0198,-0.0222,-0.0118,0.0515,1.35,1.35,0.8,5.0,1.33,2025-11-24T05:00:00Z,12.0,1.0675,1.68,141,A,0.57,449,A,A,2025-11-26T14:47:41.815647692Z,I,1.33,1.0,2025-11-24T20:40:04.104485004Z,B,1.35,1.35,1.35,1.0,1.35,2025-11-24T20:40:00Z,1.0,1.35,2026-03-20,30000,1.68,1.8,1.3,4.0,1.3,2025-11-21T05:00:00Z,20.0,1.7065
BTC260618P00070000,0.7281,-0.7818,0.014,-0.3477,-0.009,0.0853,,,,,,,,,33.55,32,Z,30.33,33,A,A,2025-11-26T14:46:32.064608649Z,,,,,,,,,,,,,,2026-06-18,70000,,,,,,,,
BTC270115C00028000,0.5404,0.8206,0.0117,0.1941,-0.0086,0.1081,,,,,,,,,16.17,31,A,13.23,28,A,A,2025-11-26T14:46:45.04358241Z,,,,,,,,,,,,,,2027-01-15,28000,,,,,,,,
BTC251219P00048000,0.667,-0.882,0.0305,-0.0275,-0.0231,0.0192,10.0,10.0,10.0,1.0,10.0,2025-11-24T05:00:00Z,1.0,10.0,10.22,53,A,8.81,61,S,A,2025-11-26T14:47:40.356994264Z,g,10.0,1.0,2025-11-24T16:52:06.237411057Z,C,10.0,10.0,10.0,1.0,10.0,2025-11-24T16:52:00Z,1.0,10.0,2025-12-19,48000,11.08,11.08,11.08,1.0,11.08,2025-11-21T05:00:00Z,1.0,11.08
