symbol,impliedVolatility,greeks_delta,greeks_gamma,greeks_rho,greeks_theta,greeks_vega,latestQuote_ap,latestQuote_as,latestQuote_ax,latestQuote_bp,latestQuote_bs,latestQuote_bx,latestQuote_c,latestQuote_t,expires,price,dailyBar_c,dailyBar_h,dailyBar_l,dailyBar_n,dailyBar_o,dailyBar_t,dailyBar_v,dailyBar_vw,latestTrade_c,latestTrade_p,latestTrade_s,latestTrade_t,latestTrade_x,minuteBar_c,minuteBar_h,minuteBar_l,minuteBar_n,minuteBar_o,minuteBar_t,minuteBar_v,minuteBar_vw,prevDailyBar_c,prevDailyBar_h,prevDailyBar_l,prevDailyBar_n,prevDailyBar_o,prevDailyBar_t,prevDailyBar_v,prevDailyBar_vw
BTC260320P00072000,0.7725,-0.8815,0.0119,-0.1936,-0.0088,0.0426,33.42,20,Z,30.58,20,Z, ,2025-12-05T14:45:03.144259995Z,2026-03-20,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260618C00070000,0.5396,0.1211,0.0127,0.0216,-0.0086,0.059,1.18,42,A,0.43,53,N,A,2025-12-05T14:46:59.974714487Z,2026-06-18,70000,0.75,0.75,0.75,1.0,0.75,2025-12-01T05:00:00Z,1.0,0.75,I,0.75,1.0,2025-12-01T15:34:26.874106657Z,C,0.75,0.75,0.75,1.0,0.75,2025-12-01T15:34:00Z,1.0,0.75,2.0,2.0,1.02,2.0,1.02,2025-11-28T05:00:00Z,2.0,1.51
BTC260618C00036000,0.5185,0.6992,0.0229,0.105,-0.0155,0.1019,9.05,306,A,7.63,274,A,A,2025-12-05T14:46:24.706815033Z,2026-06-18,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC280121C00052000,0.564,0.5708,0.0119,0.2682,-0.0095,0.2294,12.51,33,A,8.02,38,A,A,2025-12-05T14:46:43.205338048Z,2028-01-21,52000,16.1,18.2,15.9,6.0,18.2,2025-09-19T04:00:00Z,7.0,16.357143,I,16.1,2.0,2025-09-19T15:03:50.612103074Z,I,16.1,18.2,15.9,6.0,18.2,2025-09-19T15:03:00Z,7.0,16.357143,,,,,,,,
BTC280121C00063000,0.567,0.4801,0.012,0.2379,-0.0095,0.2328,9.82,38,A,6.28,29,A,A,2025-12-05T14:46:39.653458193Z,2028-01-21,63000,11.73,11.9,11.73,2.0,11.9,2025-09-22T04:00:00Z,39.0,11.834615,g,11.73,15.0,2025-09-22T19:22:10.185000133Z,C,11.73,11.73,11.73,1.0,11.73,2025-09-22T19:22:00Z,15.0,11.73,,,,,,,,
BTC260320P00062000,0.6053,-0.8751,0.0158,-0.1641,-0.0069,0.0442,23.37,1,T,20.62,1,T, ,2025-12-05T14:30:31.571266549Z,2026-03-20,62000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00073000,0.6264,-0.6987,0.0132,-0.6889,-0.0056,0.1471,35.13,12,T,32.77,11,S,A,2025-12-05T14:45:46.9069513Z,2027-01-15,73000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC270115P00035000,0.5245,-0.2779,0.0151,-0.1821,-0.0076,0.1417,6.83,34,A,3.64,38,A,A,2025-12-05T14:46:47.685170899Z,2027-01-15,35000,5.44,5.8,5.44,2.0,5.8,2025-11-24T05:00:00Z,2.0,5.62,g,5.44,1.0,2025-11-24T15:30:45.959479606Z,C,5.44,5.44,5.44,1.0,5.44,2025-11-24T15:30:00Z,1.0,5.44,4.9,4.9,4.9,1.0,4.9,2025-11-18T05:00:00Z,1.0,4.9
BTC260320C00075000,,,,,,,0.73,303,A,0.0,0,?,A,2025-12-05T14:34:15.664704106Z,2026-03-20,75000,0.38,0.38,0.38,1.0,0.38,2025-12-03T05:00:00Z,6.0,0.38,f,0.38,6.0,2025-12-03T20:55:50.116354516Z,C,0.38,0.38,0.38,1.0,0.38,2025-12-03T20:55:00Z,6.0,0.38,0.23,0.23,0.23,1.0,0.23,2025-11-25T05:00:00Z,1.0,0.23
BTC280121C00043000,0.5943,0.667,0.0105,0.2832,-0.0093,0.2124,15.01,20,A,11.81,14,B,A,2025-12-05T14:46:26.370182112Z,2028-01-21,43000,13.64,13.64,13.64,1.0,13.64,2025-11-28T05:00:00Z,1.0,13.64,a,13.64,1.0,2025-11-28T15:28:22.380358642Z,X,13.64,13.64,13.64,1.0,13.64,2025-11-28T15:28:00Z,1.0,13.64,14.8,15.2,14.8,3.0,15.06,2025-11-14T05:00:00Z,3.0,15.02
BTC280121C00042000,0.601,0.6785,0.0102,0.2833,-0.0093,0.2094,15.63,25,A,12.1,30,A,A,2025-12-05T14:46:41.003582472Z,2028-01-21,42000,12.5,12.5,12.5,1.0,12.5,2025-11-24T05:00:00Z,7.0,12.5,I,12.5,7.0,2025-11-24T15:50:19.925075988Z,C,12.5,12.5,12.5,1.0,12.5,2025-11-24T15:50:00Z,7.0,12.5,13.8,13.8,13.8,1.0,13.8,2025-11-17T05:00:00Z,10.0,13.8
BTC260618C00059000,0.5382,0.23,0.0193,0.0398,-0.013,0.0889,3.44,740,A,0.08,1260,A,A,2025-12-05T14:46:39.231378251Z,2026-06-18,59000,1.8,1.9,1.8,2.0,1.9,2025-12-04T05:00:00Z,2.0,1.85,I,1.8,1.0,2025-12-04T17:07:54.70048818Z,I,1.8,1.8,1.8,1.0,1.8,2025-12-04T17:07:00Z,1.0,1.8,1.9,1.9,1.9,1.0,1.9,2025-11-26T05:00:00Z,10.0,1.9
BTC260320C00067000,,,,,,,0.73,30,U,0.0,0,?, ,2025-12-05T14:45:03.142568792Z,2026-03-20,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC260116C00059000,,,,,,,0.77,338,A,0.0,0,?,A,2025-12-05T14:34:02.345239471Z,2026-01-16,59000,0.15,0.17,0.15,2.0,0.17,2025-11-24T05:00:00Z,4.0,0.16,a,0.15,2.0,2025-11-24T20:15:50.504294291Z,A,0.15,0.15,0.15,1.0,0.15,2025-11-24T20:15:00Z,2.0,0.15,0.24,0.24,0.24,1.0,0.24,2025-11-19T05:00:00Z,1.0,0.24
